file name,text,index,left character,right character,left emote,right emote,RequireYN?,OnYes,OnNo,End Talkie ?,Talkie Motion,
P_1_4_Lester_1_T2,My name is Lester~,1,,Lester,,1_MO_EP,,,,,,4
P_1_4_Lester_1_T3,and I absolutely love making stickers!,2,,Lester,,7_MO_EC,,,,,,6
P_1_4_Lester_2_T1,Say there!,3,,Lester,,6_MO_EP,,,,,,2
P_1_4_Lester_2_T2,I see you’ve got some coins there!,4,,Lester,,5_MO_EP,,,,,,7
P_1_4_Lester_2_T3,I'll tell you what~ if you give me three coins I’ll make you a one of a kind sticker!,5,,Lester,,1_MO_EP,,,,,,19
P_1_4_Lester_2_T4,I promise you won't find another kind like it!,6,,Lester,,6_MO_EP,,,,,,9
P_1_4_Lester_2_T5,Guaranteed! ,7,,Lester,,2_MO_EP,,,,,,1
P_1_4_Lester_2_T6,How does that sound?!,8,,Lester,,1_MO_EP,,,,,,4
P_1_4_Lester_3_T1,Why don't we try for one now!,9,,Lester,,9_MO_EP,,,,,,7
,,,,,,,,,,,,
$Title,LesterIntro_1_p2,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,right,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
P_1_4_Lester_4_T1,Alright! Here you go! Now drag your sticker to the board to place it!,0,,Lester,,1_MO_EP,,,,,,
P_1_4_Lester_4_T2,Careful!,1,,Lester,,8_MO_EP,,,,,,
P_1_4_Lester_4_T3,You can only place your sticker once~ so when you hit yes~,2,,Lester,,6_MO_EP,,,,,,
P_1_4_Lester_4_T4,make it count! ,3,,Lester,,5_MO_EC,,,,,,
,,,,,,,,,,,,
$Title,LesterIntro_1_p3,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,right,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
P_1_4_Lester_5_T1,Good job!,0,,Lester,,7_MO_EP,,,,,,
P_1_4_Lester_5_T2,Now if you ever run out of space you can remove stickers!,1,,Lester,,1_MO_EP,,,,,,
P_1_4_Lester_5_T3,However! Once you remove a sticker you can't get it back. ,2,,Lester,,6_MO_EP,,,,,,
P_1_4_Lester_5_T4,So be careful!,3,,Lester,,8_MO_EP,,,,,,
P_1_4_Lester_5_T5,If you ever want to place your stickers or view your collection~,4,,Lester,,1_MO_EP,,,,,,
P_1_4_Lester_5_T6,call for me again and click the stickerboard! ,5,,Lester,,3_MO_EP,,,,,,
,,,,,,,,,,,,
$Title,LesterIntro_1_p4,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,right,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
P_1_4_Lester_6_T1,If you have the funds you can also buy more boards to place your stickers on!,0,,Lester,,1_MO_EP,,,,,,
P_1_4_Lester_6_T2,I have MANY cool boards from my travels! so help yourself!,1,,Lester,,4_MO_EP,,,,,,
,,,,,,,,,,,,
$Title,LesterIntro_1_p5,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,right,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
P_1_4_Lester_7_T1,Isn't that exciting?!,0,,Lester,,7_MO_EP,,,,,,
P_1_4_Lester_8_T1,I’m always a holler away~,1,,Lester,,2_MO_EP,,,,,,
P_1_4_Lester_8_T2,so call me with the cart button if you ever need me again!,2,,Lester,,5_MO_EP,,,,,,
,,,,,,,,,,,,
$Title,LesterFull_1_p1,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
Sticker_0_2_Lester_1_T1,Whoaa!!,0,,Lester,,8_MO_EP,,,,,,
Sticker_0_2_Lester_1_T2,Hold your stickers there explorer! You’re all out of inventory space.,1,,Lester,,5_MO_EP,,,,,,
Sticker_0_2_Lester_1_T3,Why don't you place some stickers or buy more boards to make room before you try to roll again!,2,,Lester,,1_MO_EP,,,,,,
,,,,,,,,,,,,
$Title,LesterBuy_1_p1,,,,,,,,,,,
$Quip Collection,yes,,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
Sticker_0_1_Lester_1_T1,Howdy there explorer!,0,,Lester,,2_MO_EP,,,,,,
Sticker_0_1_Lester_1_T2,You ready to roll?,1,,Lester,,7_MO_EP,,,,,,
Sticker_0_1_Lester_1_T3,,2,,Lester,,1_MC_EP ,,,,yes,,
,,,,,,,,,,,,
$Voiceover,,,,,,,,,,,,
Sticker_0_C_Lester_1,Hmm~ a mighty fine sticker indeed!,0,,,,,,,,,,
Sticker_0_C_Lester_2,What a good sticker!,1,,,,,,,,,,
Sticker_0_C_Lester_3,A cute little thing! Can’t wait to make more for yah!,2,,,,,,,,,,
$Voiceover,,3,,,,,,,,,,
Sticker_0_UC_Lester_1,That’s a pretty cool sticker explorer!,4,,,,,,,,,,
Sticker_0_UC_Lester_2,What a cute sticker!,5,,,,,,,,,,
Sticker_0_UC_Lester_3,I’m pretty proud of this one explorer!,6,,,,,,,,,,
$Voiceover,,7,,,,,,,,,,
Sticker_0_R_Lester_1,I've never made a sticker like this one!,8,,,,,,,,,,
Sticker_0_R_Lester_2,Not often do my stickers come out like this,9,,,,,,,,,,
Sticker_0_R_Lester_3,Take care of this one explorer~ it’s a rare one!,10,,,,,,,,,,
$Voiceover,,11,,,,,,,,,,
Sticker_0_L_Lester_1,WHOA! I-I’m speechless explorer!,12,,,,,,,,,,
Sticker_0_L_Lester_2,I’ve never made a cutie like this before!,13,,,,,,,,,,
Sticker_0_L_Lester_3,This is legendary explorer!,14,,,,,,,,,,
,,,,,,,,,,,,
$Title,VillageRebuilt_1_p1,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,,
$Talkie End,left,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,,
$Segments,,,,,,,,,,,,
P_1_5_Red_1_T1,Wow!,0,Red,,2_MO_EI,,,,,,,
P_1_5_Red_1_T2,The village looks great! ,1,Red,,3_MO_EC,,,,,,,
P_1_5_Wally_2_T1,Good job!,2,Red,Wally,1_MC_EP,4_MO_EP,,,,,,
P_1_5_Darwin_3_T1,Wow this looks incredible!,3,Darwin,Wally,2_MO_EP,4_MC_EI,,,,,,
P_1_5_Darwin_3_T2,I uhh...,4,Darwin,Wally,7_MO_EO,4_MC_EI,,,,,,
P_1_5_Darwin_3_T3,Can’t believe how good it looks!,5,Darwin,Wally,4_MO_EP,4_MC_EI,,,,,,
P_1_5_Wally_4_T1,Does this mean you’re getting your memories back? Will they be able to help the prince?,6,Darwin,Wally,1_MC_EI,9_MO_EI,,,,,,
P_1_5_Darwin_5_T1,They’re starting to come back!,7,Darwin,Red,8_MO_EI,1_MC_EI,,,,,,
P_1_5_Darwin_5_T2,It’s been so long that it makes remembering harder…,8,Darwin,Red,11_MO_EO,1_MC_EI,,,,,,
P_1_5_Darwin_5_T3,But with the village being all cleaned up it’s making it easier! ,9,Darwin,Red,2_MO_EP,1_MC_EI,,,,,,
P_1_5_Red_6_T1,I'm glad!,10,Darwin,Red,2_MC_EI,3_MO_EC,,,,,,
P_1_5_Darwin_7_T1,As am I!,11,Darwin,Red,4_MO_EC,2_MC_EI,,,,,,
P_1_5_Darwin_7_T2,I’m going to run up ahead and try to catch up to the prince!,12,Darwin,Red,3_MO_EO,2_MC_EI,,,,,,
,,,,,,,,,,,,
$Title,VillageRebuilt_1_p2,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,left,,,,,,,,,,,
$Talkie End,left,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,,
$Segments,,,,,,,,,,,,
P_1_5_Red_8_T1,Alright explorer!,0,Red,Wally,2_MO_EP,2_MC_EP,,,,,,
P_1_5_Red_8_T2,Let's follow Darwin!,1,Red,Wally,3_MO_EC,2_MC_EP,,,,,,
P_1_5_RedWally_9_T3,!!!,2,Red,Wally,5_MO_EI,6_MO_EO,,,,,,
,,,,,,,,,,,,
$Title,VillageRebuilt_1_p3,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
P_1_1_Marcus_26_T1,HAHAHA!,0,Red,Marcus,5_MC_EI,6_MO,,,,,,
P_1_1_Brutus_27_T1,Heh heh heh,1,Red,Brutus,10_MC_EI,8_MO,,,,,,
P_1_5_Julius_12_T1,So we meet again.,2,Red,Julius,10_MC_EI,2_MO_EI,,,,,,
P_1_5_Red_13_T1,Your highness!,3,Red,Julius,5_MO_EI,2_MC_EI,,,,,,
P_1_5_Julius_14_T1,I see Darwin isn't with you.,4,Red,Julius,10_MC_EI,4_MO_EO,,,,,,
P_1_5_Wally_15_T1,He went on ahead to look for you.,5,Wally,Julius,3_MO_EI,4_MC_EI,,,,,,
P_1_5_Marcus_16_T1,THAT FOOL!,6,Marcus,Brutus,4_MO,5_MC,,,,,,
P_1_5_Brutus_17_T1,Yawn...,7,Marcus,Brutus,4_MC,6_MO,,,,,,
P_1_5_Red_18_T1,Don’t say that about Darwin! ,8,Red,,6_MO_EI,,,,,,,
P_1_5_Red_18_T2,That isn’t nice!,9,Red,,8_MO_EI,,,,,,,
P_1_5_Julius_19_T1,…,10,Red,Julius,8_MC_EI,9_MC_EI,,,,,,
P_1_5_Julius_19_T2,You guys are getting in the way.,11,Red,Julius,8_MC_EI,2_MO_EI,,,,,,
P_1_5_Julius_19_T3,It's starting to get annoying. ,12,Red,Julius,8_MC_EI,7_MO_EI,,,,,,
P_1_5_Marcus_20_T1,Well spoken my prince!,13,Marcus,Brutus,3_MO,6_MO,,,,,,
P_1_5_Brutus_21_T1,Heh heh…,14,Marcus,Brutus,3_MC,8_MO,,,,,,
P_1_5_Brutus_21_T2,yeah,15,Marcus,Brutus,3_MC,3_MO,,,,,,
P_1_5_Julius_22_T1,I'll tell you what.,16,Red,Julius,8_MC_EI,1_MO_EI,,,,,,
P_1_5_Julius_22_T2,One of you will step up and accept my challenge.,17,Red,Julius,8_MC_EI,8_MO_EI,,,,,,
P_1_5_Julius_22_T3,If you win~,18,Red,Julius,8_MC_EI,11_1_MO_EI,,,,,,
P_1_5_Julius_22_T4,you can move forward and bother me some more.,19,Red,Julius,8_MC_EI,4_MO_EI,,,,,,
P_1_5_Julius_22_T5,But If I win~,20,Red,Julius,8_MC_EI,14_MO_EI,,,,,,
P_1_5_Julius_22_T6,you leave me alone.,21,Red,Julius,8_MC_EI,11_MO_EI,,,,,,
P_1_5_RedWally_23_T1,?!?!!,22,Red,Wally,5_MO_EI,6_MO_EI,,,,,,
P_1_5_Marcus_25_T1,YOU HEARD THE PRINCE!,24,Marcus,Brutus,4_ MO,7_MC,,,,,,
P_1_5_Brutus_26_T1,Yeah…,25,Marcus,Brutus,5_MC,4_MO,,,,,,
P_1_5_Brutus_26_T2,you tell them buddy...,26,Marcus,Brutus,5_MC,3_MO,,,,,,
P_1_5_Brutus_26_T3,yawn...,27,Marcus,Brutus,5_MC,6_MO,,,,,,
P_1_5_Marcus_27_T1,Quiet you!,28,Marcus,Brutus,5_MO,7_MO,,,,,,
P_1_5_Wally_28_T1,We have no choice but to accept.,29,Wally,Julius,10_MO_EI,2_MC_EI,,,,,,
P_1_5_Red_29_T1,The explorer will be the one to challenge you.,30,Red,Julius,14_MO_EP,7_MC_EI,,,,,,
P_1_5_Red_29_T2,They have been learning so much!,31,Red,Julius,3_MO_EC,7_MC_EI,,,,,,
P_1_5_Julius_30_T1,Alright then let’s start.,32,Red,Julius,14_MC_EP,2_MO_EP,,,,,,
P_1_1_Marcus_26_T1,HAHAHA!,33,Marcus,Brutus,6_MO,8_MC,,,,,,
P_1_1_Brutus_27_T1,Heh heh heh!,34,Marcus,Brutus,6_MC,8_MO,,,,,,
P_1_5_Red_33_T1,It’s time to put what you've learned to the test!,35,Red,Wally,14_MO_EP,2_MC_EO,,,,,,
P_1_5_Red_33_T2,You’ve got this explorer!,36,Red,Wally,3_MO_EC,2_MC_EO,,,,,,
P_1_5_Wally_34,Good luck.,37,Red,Wally,2_MC_EP,11_MO_EP,,,,,,
,,,,,,,,,,,,
$Title,VillageDefeated_1_p1,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,,
$Talkie End,sides,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,,
$Segments,,,,,,,,,,,,
P_1_6_Julius_1_T1,Impossible!,0,Julius,,7_MO_EP,,,,,,,
P_1_6_Julius_1_T2,How could you beat me?!,1,Julius,,12_MO_EP,,,,,,,
P_1_6_Julius_1_T3,The future king!,2,Julius,,14_MO_EP,,,,,,,
P_1_6_Marcus_2_T1,HOW DARE YOU DO THIS TO THE FUTURE KING!,3,Marcus,Brutus,4_MO,6_MO,,,,,,
P_1_6_Brutus_3_T1,Yeah..,4,Marcus,Brutus,4_MC,7_MO,,,,,,
P_1_6_Brutus_3_T2,How dare you win fair and square…,5,Marcus,Brutus,5_MC,3_MO,,,,,,
P_1_6_Marcus_4_T1,Enough out of you! You buffon!,6,Marcus,Brutus,5_MO,8_MC,,,,,,
P_1_6_Red_5_T1,Good job explorer!,7,Red,Wally,4_MO_EC,11_MC_EO,,,,,,
P_1_6_Red_5_T2,I knew you could do it!,8,Red,Wally,14_MO_EP,11_MC_EO,,,,,,
P_1_6_Wally_6_T1,Good job!,9,Red,Wally,1_MC_EP,4_MO_EP,,,,,,
P_1_6_Wally_6_T2,That was amazing!,10,Red,Wally,1_MC_EP,11_MO_EO,,,,,,
P_1_6_Julius_7_T1,This isn't over!,11,Red,Julius,10_MC_EI,9_MO_EI,,,,,,
P_1_6_Julius_7_T2,I’ll challenge you again!,12,Red,Julius,10_MC_EI,2_MO_EP,,,,,,
,,,,,,,,,,,,
$Voiceover,,,,,,,,,,,,
P_1_6_Marcus_8,Next time you won't be so lucky!,0,,,,,,,,,,
P_1_6_Brutus_9,Yawn...yeah… what he said…,1,,,,,,,,,,
,,,,,,,,,,,,
$Title,VillageDefeated_1_p3,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,,
$Talkie End,left,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,,
$Segments,,,,,,,,,,,,
P_1_6_Red_10_T1,I don't know why he’s acting this way.,0,Red,Wally,7_MO_EI,7_MC_EI,,,,,,
P_1_6_Wally_11_T1,I’m sure we’ll find out in time.,1,Red,Wally,7_MC_EI ,2_MO_EI,,,,,,
P_1_6_Wally_11_T2,For now let's move forward,2,Red,Wally,1_MC_EI,1_MO_EP,,,,,,
P_1_6_Red_12_T1,Alright explorer!,3,Red,Wally,3_MO_EP,3_MO_EP,,,,,,
P_1_6_Red_12_T2,Let’s head out!,4,Red,Wally,4_MO_EC,4_MO_EC,,,,,,
,,,,,,,,,,,,
$Title,VillageDefeated_1_p4,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,left,,,,,,,,,,,
$Talkie End,left,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
// this ones a wild one. Visually I'd like the bg to undim but bars stay in place after the last segment so they we can watch the tiger sign post spring in place. Then the bg dims for talkies again but the sign stays OVER the dim so it's in focus letting Red speak on the left as if to look at it.,,,,,,,,,,,,
P_1_6_Red_13_T1,Oh!,0,Red,,5_MO_EI,,,,,,,
P_1_6_Wally_14_T1,What’s that? ,1,Wally,,9_MO_EI,,,,,,,
P_1_6_Red_15_T1,That's weird~,2,Red,,9_MO_EI,,,,,,,
P_1_6_Red_15_T2,a signpost just popped up.,3,Red,,1_MO_EI,,,,,,,
P_1_6_Red_16_T1,If you tap on it~ you can probably play the princes challenge games!,4,Red,,12_MO_EI,,,,,,,
P_1_6_Red_17_T1,You should try it when you want to practice your skills!,5,Red,,12_MO_EP,,,,,,,
,,,,,,,,,,,,
$Title,ChaJuliusWins_1_p1,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
Cha_0_1a_Marcus_1_T1,HAHAHA!,0,Marcus,Brutus,6_MO,6_MO,,,,,,
Cha_0_1a_Marcus_1_T2,Good job your majesty! ,1,Marcus,Brutus,3_MO,6_MO,,,,,,
Cha_0_1a_Marcus_1_T3,Show them who is in charge!,2,Marcus,Brutus,2_MO,6_MO,,,,,,
Cha_0_1a_Brutus_2_T1,Heh heh… ,3,Marcus,Brutus,2_MC,8_MO,,,,,,
Cha_0_1a_Brutus_2_T2,nice.,4,Marcus,Brutus,2_MC,3_MO,,,,,,
Cha_0_1a_Julius_3_T1,I'll be generous and let you challenge me again.,5,Red,Julius,14_MC_EI,4_MO_EI,,,,,,
Cha_0_1a_Red_4_T1,It’s okay explorer! ,6,Red,Julius,1_MO_EP,13_MC_EI,,,,,,
Cha_0_1a_Red_4_T2,Let's go practice some more.,7,Red,Julius,2_MO_EP,13_MC_EI,,,,,,
,,,,,,,,,,,,
$Title,ChaJuliusWins_2_p1,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
Cha_0_1a_Red_4_T1,It’s okay explorer! ,0,Red,,1_MO_EP,,,,,,,
Cha_0_1a_Red_4_T2,Let's go practice some more.,1,Red,,2_MO_EP,,,,,,,
,,,,,,,,,,,,
$Title,ChaJulius_1_p1,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
Cha_0_1b_Julius_1_T1,Are you ready explorer?,0,,Julius,,2_MO_EP,yes,goto1,goto2,,,
Cha_0_1b_Julius_2_T1,Alright~ let's do this.,1,,Julius,,4_MO_EP,,,,yes,,
Cha_0_1b_Julius_3_T1,I’ll be waiting.,2,,Julius,,1_MO_EP,,,,yes,,
,,,,,,,,,,,,
$Title,ChaJulius_2_p1,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
Cha_0_1_Julius_1_T1,Ugh! How can this be!?,0,,Julius,,12_MO_EO,,,,,,
Cha_0_1_Julius_1_T2,Well.,1,,Julius,,9_MO_EP,,,,,,
Cha_0_1_Julius_1_T3,You won't be able to beat my friends.,2,,Julius,,4_MO_EP,,,,,,
Cha_0_1_Julius_1_T4,Marcus! It’s your turn! ,3,,Julius,,7_MO_EI,,,,,,
Cha_0_1_Marcus_2_T1,HA HA HA!!!,4,Julius,Marcus,12_MC_EI,6_MO,,,,,,
Cha_0_1_Marcus_2_T2,Yes your highness!,5,Julius,Marcus,2_MC_EP,2_MO,,,,,,
Cha_0_1_Marcus_2_T3,Are you ready to lose explorer!?,6,Julius,Marcus,2_MC_EP,3_MO,yes,goto7,goto9,,,
Cha_0_1_Marcus_3_T1,HA HA HA!!!,7,,Marcus,,6_MO,,,,,,
Cha_0_1_Marcus_3_T2,Prepare yourself explorer! ,8,,Marcus,,3_MO,,,,yes,,
Cha_0_1_Marcus_4_T1,WHAT!? EXCUSE ME!?,9,,Marcus,,9_MO,,,,,,
Cha_0_1_Marcus_4_T2,…,10,,Marcus,,9_MC,,,,,,
Cha_0_1_Marcus_4_T3,Whatever.,11,,Marcus,,5_MO,,,,,,
Cha_0_1_Marcus_4_T4,Come back when you're ready for my victory!,12,,Marcus,,2_MO,,,,,,
Cha_0_1_Marcus_4_T5,HA HA HA!,13,,Marcus,,6_MO,,,,yes,,
,,,,,,,,,,,,
$Title,ChaMarcusWins_1_p1,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
Cha_0_2a_Marcus_1_T1,HA HA HA!!!,0,,Marcus,,6_MO,,,,,,
Cha_0_2a_Marcus_1_T2,I told you I’d win!!!,1,,Marcus,,2_MO,,,,,,
Cha_0_2a_Julius_2_T1,Take that explorer!,2,Marcus,Julius,3_MC,2_MO_EP,,,,,,
Cha_0_2a_Julius_2_T2,I knew we’d beat you!,3,Marcus,Julius,3_MC,4_MO_EC,,,,,,
Cha_0_1a_Red_4_T1,It’s okay explorer! ,4,Red,,1_MO_EP,,,,,,,
Cha_0_1a_Red_4_T2,Let's go practice some more.,5,Red,,2_MO_EP,,,,,,,
,,,,,,,,,,,,
$Title,ChaMarcus_1_p1,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
Cha_0_2b_Marcus_1_T1,HAHAHA,0,,Marcus,,6_MO,,,,,,
Cha_0_2b_Marcus_1_T2,Are you ready explorer?,1,,Marcus,,3_MO,yes,goto2,goto3,,,
Cha_0_2b_Marcus_2_T1,Alright~ let's do this.,2,,Marcus,,3_MO,,,,yes,,
Cha_0_2b_Marcus_3_T1,I’ll be waiting.,3,,Marcus,,5_MO,,,,yes,,
,,,,,,,,,,,,
$Title,ChaMarcus_2_p1,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
Cha_0_2_Marcus_1_T1,WHAT?!,0,,Marcus,,9_MO,,,,,,
Cha_0_2_Marcus_1_T2,HOW IS THIS POSSIBLE?!,1,,Marcus,,4_MO,,,,,,
Cha_0_2_Red_2_T1,You're doing great explorer!,2,Red,Marcus,2_MO_EP,4_MC,,,,,,
Cha_0_2_Red_2_T2,We’re almost there!,3,Red,Marcus,4_MO_EC,4_MC,,,,,,
Cha_0_2_Julius_3_T1,Enough games!,4,Red,Julius,5_MC_EI,7_MO_EP,,,,,,
Cha_0_2_Julius_3_T2,Brutus it’s your turn! ,5,Red,Julius,5_MC_EI,8_MO_EO,,,,,,
Cha_0_2_Brutus_4_T1,yawn…,6,Julius,Brutus,2_MC_EI,6_MO,,,,,,
Cha_0_2_Brutus_4_T2,Alright…,7,Julius,Brutus,2_MC_EI,7_MO,,,,,,
Cha_0_2_Brutus_4_T3,let's get this over with…,8,Julius,Brutus,2_MC_EI,5_MO,yes,goto9,goto12,,,
Cha_0_2_Brutus_5_T1,Okay explorer…,9,,Brutus,,4_MO,,,,,,
Cha_0_2_Brutus_5_T2,Yawn…,10,,Brutus,,6_MO,,,,,,
Cha_0_2_Brutus_5_T3,Time for me to beat you I guess… ,11,,Brutus,,7_MO,,,,yes,,
Cha_0_2_Brutus_6_T1,Yawn..,12,,Brutus,,6_MO,,,,,,
Cha_0_2_Brutus_6_T2,Yeah whatever...,13,,Brutus,,7_MO,,,,,,
Cha_0_2_Brutus_6_T3,I’ll be here…,14,,Brutus,,3_MO,,,,,,
Cha_0_2_Brutus_6_T4,Or whatever…,15,,Brutus,,5_MO,,,,yes,,
,,,,,,,,,,,,
$Title,ChaBrutusWins_1_p1,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
Cha_0_3a_Brutus_1_T1,Heh…,0,,Brutus,,4_MO,,,,,,
Cha_0_3a_Brutus_1_T2,Well would you look at that…,1,,Brutus,,3_MO,,,,,,
Cha_0_3a_Brutus_1_T3,It looks like I win explorer…,2,,Brutus,,2_MO,,,,,,
Cha_0_3a_Brutus_1_T4,yawn…,3,,Brutus,,6_MO,,,,,,
Cha_0_3a_Brutus_1_T5,How exciting…,4,,Brutus,,7_MO,,,,,,
Cha_0_2a_Julius_2_T1,Take that explorer!,5,,Julius,,2_MO_EP,,,,,,
Cha_0_2a_Julius_2_T2,I knew we’d beat you!,6,,Julius,,4_MO_EC,,,,,,
Cha_0_1a_Red_4_T1,It’s okay explorer! ,7,Red,,1_MO_EP,,,,,,,
Cha_0_1a_Red_4_T2,Let's go practice some more.,8,Red,,2_MO_EP,,,,,,,
