,text,index,left character,right character,left emote,right emote,RequireYN?,OnYes,OnNo,End Talkie ?,Talkie Motion
$Segments,,,,,,,,,,,
P_1_2_Darwin_1_T1,Are you ready to get started~ Explorer?,0,Darwin,,7_MO_EP,,yes,goto4,goto1,,
P_1_2_Darwin_2_T1,Okay Explorer...,1,Darwin,,11_MO_EC,,,,,,
P_1_2_Darwin_2_T2,umm...,2,Darwin,,7_MO_EO,,,,,,
P_1_2_Darwin_2_T3,come back when you are ready.,3,Darwin,,2_MO_EP,,,,,yes,
P_1_2_Darwin_3_T1,Alright Explorer! Let's get started!,4,Darwin,,4_MO_EP,,,,,yes,
,,,,,,,,,,,
$Title,DarwinQuips_1_p1,,,,,,,,,,
$Quip Collection,yes,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
P_1_3_Darwin_1_T1,Hmm… I can’t seem to remember…,0,Darwin,,9_MO_EO,,,,,yes,
P_1_3_Darwin_2_T1,Hmm… think think think…,1,Darwin,,7_MO_EO,,,,,yes,
P_1_3_Darwin_3_T1,.... what happened here…,2,Darwin,,12_MO_EO,,,,,yes,
P_1_3_Darwin_4_T1,Hmm…,3,Darwin,,9_MC_EO,,,,,yes,
P_1_3_Darwin_5_T1,I’m sure I’ll think of something soon Explorer…,4,Darwin,,12_MO_EP,,,,,,
P_1_3_Darwin_5_T2,I hope...,5,Darwin,,9_MO_EO,,,,,yes,
,,,,,,,,,,,
$Title,RedLester_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
P_1_3a_Red_1_T1,Wow! Look at all the coins you received!,0,Red,,4_MO_EC,,,,,,
P_1_3a_Red_1_T2,Hey!,1,Red,,1_MO_EP,,,,,,
P_1_3a_Red_1_T3,What's that button up there,2,Red,,12_MO_EO,,,,,,
P_1_3a_Red_2_T1,Tap on it and let's see what happens!,3,Red,,9_MO_EP,,,,,,
,,,,,,,,,,,
$Title,ForceLester_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
P_1_3b_Darwin_1_T1,Hmm...,0,Darwin,,7_MO_EO,,,,,,
P_1_3b_Darwin_1_T2,I think there’s someone you still need to meet before can we move forward... ,1,Darwin,,1_MO_EP,,,,,,
P_1_3b_Darwin_1_T3,Tap the glowing cart button!,2,Darwin,,4_MO_EP,,,,,,
,,,,,,,,,,,
$Title,VillageRebuilt_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,
$Talkie End,left,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
P_1_5_Red_1_T1,Wow!,0,Red,,2_MO_EI,,,,,,
P_1_5_Red_1_T2,The village looks great! ,1,Red,,3_MO_EC,,,,,,
P_1_5_Wally_2_T1,Good job!,2,Red,Wally,1_MC_EP,4_MO_EP,,,,,
P_1_5_Darwin_3_T1,Wow this looks incredible!,3,Darwin,Wally,2_MO_EP,4_MC_EI,,,,,
P_1_5_Darwin_3_T2,I uhh...,4,Darwin,Wally,7_MO_EO,4_MC_EI,,,,,
P_1_5_Darwin_3_T3,Can’t believe how good it looks!,5,Darwin,Wally,4_MO_EP,4_MC_EI,,,,,
P_1_5_Wally_4_T1,Does this mean you’re getting your memories back? Will they be able to help the Prince?,6,Darwin,Wally,1_MC_EI,9_MO_EI,,,,,
P_1_5_Darwin_5_T1,They’re starting to come back!,7,Darwin,Red,8_MO_EI,1_MC_EI,,,,,
P_1_5_Darwin_5_T2,It’s been so long that it makes remembering harder…,8,Darwin,Red,11_MO_EO,1_MC_EI,,,,,
P_1_5_Darwin_5_T3,But with the village being all cleaned up it’s making it easier! ,9,Darwin,Red,2_MO_EP,1_MC_EI,,,,,
P_1_5_Red_6_T1,I'm glad!,10,Darwin,Red,2_MC_EI,3_MO_EC,,,,,
P_1_5_Darwin_7_T1,As am I!,11,Darwin,Red,4_MO_EC,2_MC_EI,,,,,
P_1_5_Darwin_7_T2,I’m going to run up ahead and try to catch up to Julius!,12,Darwin,Red,3_MO_EO,2_MC_EI,,,,,
,,,,,,,,,,,
$Title,VillageRebuilt_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,left,,,,,,,,,,
$Talkie End,left,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
P_1_5_Red_8_T1,Alright Explorer!,0,Red,Wally,2_MO_EP,2_MC_EP,,,,,
P_1_5_Red_8_T2,Let's follow Darwin!,1,Red,Wally,3_MO_EC,2_MC_EP,,,,,
RedWally_Oh,Oh!,2,Red,Wally,5_MO_EI,6_MO_EO,,,,,
,,,,,,,,,,,
$Title,VillageRebuilt_1_p3,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Marcus_Laugh,HA HA HA!!!,0,Red,Marcus,5_MC_EI,6_MO,,,,,
Brutus_Laugh,Heh heh...,1,Red,Brutus,10_MC_EI,8_MO,,,,,
P_1_5_Julius_12_T1,So we meet again.,2,Red,Julius,10_MC_EI,2_MO_EI,,,,,
P_1_5_Red_13_T1,Your highness!,3,Red,Julius,5_MO_EI,2_MC_EI,,,,,
P_1_5_Julius_14_T1,I see Darwin isn't with you.,4,Red,Julius,10_MC_EI,4_MO_EO,,,,,
P_1_5_Wally_15_T1,He went on ahead to look for you.,5,Wally,Julius,3_MO_EI,4_MC_EI,,,,,
P_1_5_Marcus_16_T1,THAT FOOL!,6,Marcus,Brutus,4_MO,5_MC,,,,,
P_1_5_Brutus_17_T1,Yawn...,7,Marcus,Brutus,4_MC,6_MO,,,,,
P_1_5_Red_18_T1,Don’t say that about Darwin! ,8,Red,,6_MO_EI,,,,,,
P_1_5_Red_18_T2,That isn’t nice!,9,Red,,8_MO_EI,,,,,,
P_1_5_Julius_19_T1,…,10,Red,Julius,8_MC_EI,9_MC_EI,,,,,
P_1_5_Julius_19_T2,You guys are getting in the way.,11,Red,Julius,8_MC_EI,2_MO_EI,,,,,
P_1_5_Julius_19_T3,It's starting to get annoying. ,12,Red,Julius,8_MC_EI,7_MO_EI,,,,,
P_1_5_Marcus_20_T1,Well spoken my Prince!,13,Marcus,Brutus,3_MO,6_MO,,,,,
P_1_5_Brutus_21_T1,Heh heh...,14,Marcus,Brutus,3_MC,8_MO,,,,,
P_1_5_Brutus_21_T2,yeah.,15,Marcus,Brutus,3_MC,3_MO,,,,,
P_1_5_Julius_22_T1,I'll tell you what.,16,Red,Julius,8_MC_EI,1_MO_EI,,,,,
P_1_5_Julius_22_T2,One of you will step up and accept my challenge.,17,Red,Julius,8_MC_EI,8_MO_EI,,,,,
P_1_5_Julius_22_T3,If you win~,18,Red,Julius,8_MC_EI,11_MO_EP,,,,,
P_1_5_Julius_22_T4,you can move forward and bother me some more.,19,Red,Julius,8_MC_EI,4_MO_EI,,,,,
P_1_5_Julius_22_T5,But If I win~,20,Red,Julius,8_MC_EI,14_MO_EI,,,,,
P_1_5_Julius_22_T6,you leave me alone.,21,Red,Julius,8_MC_EI,11_MO_EI,,,,,
RedWally_What,What?!,22,Red,Wally,5_MO_EI,6_MO_EI,,,,,
P_1_5_Marcus_25_T1,YOU HEARD THE PRINCE!,23,Marcus,Brutus,4_MO,7_MC,,,,,
P_1_5_Brutus_26_T1,Yeah…,24,Marcus,Brutus,5_MC,4_MO,,,,,
P_1_5_Brutus_26_T2,what he said...,25,Marcus,Brutus,5_MC,3_MO,,,,,
P_1_5_Brutus_26_T3,Yawn...,26,Marcus,Brutus,5_MC,6_MO,,,,,
P_1_5_Marcus_27_T1,Quiet you!,27,Marcus,Brutus,5_MO,7_MO,,,,,
P_1_5_Wally_28_T1,We have no choice but to accept.,28,Wally,Julius,10_MO_EI,2_MC_EI,,,,,
P_1_5_Red_29_T1,The Explorer will be the one to challenge you.,29,Red,Julius,14_MO_EP,7_MC_EI,,,,,
P_1_5_Red_29_T2,They have been learning so much!,30,Red,Julius,3_MO_EC,7_MC_EI,,,,,
P_1_5_Julius_30_T1,Alright then let’s start.,31,Red,Julius,14_MC_EP,2_MO_EP,,,,,
Marcus_Laugh,HA HA HA!!!,32,Marcus,Brutus,6_MO,8_MC,,,,,
Brutus_Laugh,Heh heh...,33,Marcus,Brutus,6_MC,8_MO,,,,,
P_1_5_Red_33_T1,It’s time to put what you've learned to the test!,34,Red,Wally,14_MO_EP,2_MC_EO,,,,,
P_1_5_Red_33_T2,You’ve got this Explorer!,35,Red,Wally,3_MO_EC,2_MC_EO,,,,,
P_1_5_Wally_34_T1,Good luck.,36,Red,Wally,2_MC_EP,11_MO_EP,,,,,
,,,,,,,,,,,
$Title,VillageDefeated_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,
$Talkie End,sides,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
P_1_6_Julius_1_T1,Impossible!,0,Julius,,7_MO_EP,,,,,,
P_1_6_Julius_1_T2,How could you beat me?!,1,Julius,,12_MO_EP,,,,,,
P_1_6_Julius_1_T3,The future King!,2,Julius,,14_MO_EP,,,,,,
P_1_6_Marcus_2_T1,HOW DARE YOU DO THIS TO THE FUTURE KING!,3,Marcus,Brutus,4_MO,7_MC,,,,,
P_1_6_Brutus_3_T1,Yeah…,4,Marcus,Brutus,4_MC,7_MO,,,,,
P_1_6_Brutus_3_T2,How dare you win fair and square…,5,Marcus,Brutus,5_MC,3_MO,,,,,
P_1_6_Marcus_4_T1,Enough out of you! ,6,Marcus,Brutus,5_MO,8_MC,,,,,
P_1_6_Red_5_T1,Good job Explorer!,7,Red,Wally,4_MO_EC,11_MC_EO,,,,,
P_1_6_Red_5_T2,I knew you could do it!,8,Red,Wally,14_MO_EP,11_MC_EO,,,,,
P_1_6_Wally_6_T1,Good job!,9,Red,Wally,1_MC_EP,4_MO_EP,,,,,
P_1_6_Wally_6_T2,That was amazing!,10,Red,Wally,1_MC_EP,11_MO_EO,,,,,
P_1_6_Julius_7_T1,This isn't over!,11,Red,Julius,10_MC_EI,9_MO_EI,,,,,
P_1_6_Julius_7_T2,I’ll challenge you again!,12,Red,Julius,10_MC_EI,2_MO_EP,,,,,
,,,,,,,,,,,
$Title,VillageDefeated_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,left,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
P_1_6_Marcus_8,Next time you won't be so lucky!,0,Marcus,Brutus,8_MO,3_MC,,,,,
P_1_6_Brutus_9,Yawn...yeah… what he said…,1,Marcus,Brutus,3_MC,6_MO,,,,,
,,,,,,,,,,,
$Title,VillageDefeated_1_p3,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,left,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
P_1_6_Red_10_T1,I don't know why he’s acting this way.,0,Red,Wally,7_MO_EI,7_MC_EI,,,,,
P_1_6_Wally_11_T1,I’m sure we’ll find out in time.,1,Red,Wally,7_MC_EI,2_MO_EI,,,,,
P_1_6_Wally_11_T2,For now let's move forward,2,Red,Wally,1_MC_EI,1_MO_EP,,,,,
P_1_6_Red_12_T1,Alright Explorer!,3,Red,Wally,3_MO_EP,3_MC_EP,,,,,
P_1_6_Red_12_T2,Let’s head out!,4,Red,Wally,4_MO_EC,4_MC_EP,,,,,
,,,,,,,,,,,
$Title,VillageDefeated_1_p4,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,left,,,,,,,,,,
$Talkie End,left,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
// this ones a wild one. Visually I'd like the bg to undim but bars stay in place after the last segment so they we can watch the tiger sign post spring in place. Then the bg dims for talkies again but the sign stays OVER the dim so it's in focus letting Red speak on the left as if to look at it.,,,,,,,,,,,
P_1_6_Red_13_T1,Oh!,0,Red,,5_MO_EI,,,,,,
P_1_6_Wally_14_T1,What’ was that?,1,Wally,,9_MO_EI,,,,,,
P_1_6_Red_15_T1,That's weird~,2,Red,,9_MO_EI,,,,,,
P_1_6_Red_15_T2,a signpost just popped up.,3,Red,,1_MO_EI,,,,,,
P_1_6_Red_16_T1,If you tap on it~ you can probably play the Princes challenge games!,4,Red,,12_MO_EI,,,,,,
P_1_6_Red_17_T1,You should try it when you want to practice your skills!,5,Red,,12_MO_EP,,,,,,
P_1_6_Wally_18_T1,I think you should consider using it~ Explorer,6,Wally,,1_MO_EP,,,,,,
P_1_6_Wally_19_T2,Practice makes perfect.,7,Wally,,4_MO_EP,,,,,,
,,,,,,,,,,,
$Title,MudslideIntro_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,
$Talkie End,left,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
P_2_1_Wally_1_T1,It looks like they destroyed this area as well.,0,Wally,Red,7_MO_EI,8_MC_EI,,,,,
P_2_1_Red_2_T1,Let’s clean up before moving forward!,1,Wally,Red,11_MC_EP,3_MO_EP,,,,,
,,,,,,,,,,,
$Title,MudslideRebuilt_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,
$Talkie End,left,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
P_2_2_Red_1_T1,Wow!,0,Red,Wally,4_MO_EI,4_MC_EI,,,,,
P_2_2_Red_1_T2,This place looks amazing!,1,Red,Wally,3_MO_EP,4_MC_EI,,,,,
P_2_2_Red_1_T3,Good job Explorer!,2,Red,Wally,4_MO_EC,4_MC_EI,,,,,
P_2_2_Wally_2_T1,Good job!,3,Red,Wally,2_MC_EI,11_MO_EP,,,,,
P_2_2_Red_3_T1,Alright!,4,Red,Wally,2_MO_EC,1_MC_EP,,,,,
P_2_2_Red_3_T2,Let’s move forward!,5,Red,Wally,1_MO_EP,1_MC_EP,,,,,
RedWally_Huh,Huh?!,6,Red,Wally,5_MO_EI,6_MO_EO,,,,,
,,,,,,,,,,,
$Title,MudslideRebuilt_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Marcus_Laugh,HA HA HA!!!,0,Marcus,Brutus,6_MO,8_MC,,,,,
Brutus_Laugh,Heh heh…,1,Marcus,Brutus,6_MC,8_MO,,,,,
P_2_2_Julius_4_T1,I told you we’d see each other again soon.,2,Julius,,8_MO_EP,,,,,,
Marcus_Laugh,HA HA HA!!!,3,Julius,Marcus,2_MC_EC,6_MO,,,,,
P_2_2_Marcus_5_T2,Prepare yourself commoners!,4,Julius,Marcus,2_MC_EC,3_MO,,,,,
P_2_2_Marcus_5_T3,The challenge is about to begin! ,5,Julius,Marcus,2_MC_EC,8_MO,,,,,
P_2_2_Red_6_T1,Again?!,6,Julius,Red,2_MC_EI,5_MO_EI,,,,,
P_2_2_Julius_7_T1,Yes again! ,7,Julius,Red,7_MO_EI,5_MC_EI,,,,,
P_2_2_Julius_7_T2,You know the rules.,8,Julius,Red,2_MO_EI,10_MC_EI,,,,,
P_2_2_Julius_7_T3,If you win~,9,Julius,Red,11_MO_EI,10_MC_EI,,,,,
P_2_2_Julius_7_T4,you can keep getting in my way and move forward.,10,Julius,Red,13_MO_EO,10_MC_EI,,,,,
P_2_2_Julius_7_T5,But If I win~,11,Julius,Red,14_MO_EI,10_MC_EI,,,,,
P_2_2_Julius_7_T6,you have to leave me alone~ and let me do what I want!,12,Julius,Red,7_MO_EI,10_MC_EI,,,,,
P_2_2_Wally_8_T1,It seems we don't have another choice.,13,Julius,Wally,4_MC_EI,8_MO_EI,,,,,
P_2_2_Red_9_T1,Alright Explorer!,14,Red,Wally,1_MO_EP,2_MC_EP,,,,,
P_2_2_Red_9_T2,You can do it!,15,Red,Wally,2_MO_EP,2_MC_EP,,,,,
P_2_2_Red_9_T3,Show them what you're made of!,16,Red,Wally,3_MO_EP,2_MC_EP,,,,,
P_2_2_Wally_10_T1,Yeah you've got this!,17,Red,Wally,2_MC_EI,5_MO_EP,,,,,
P_2_2_Julius_11_T1,Alright~ Lets begin!,18,,Julius,,2_MO_EP,,,,,
Marcus_Laugh,HA HA HA!!!,19,Marcus,Brutus,6_MO,8_MC,,,,,
Brutus_Laugh,Heh heh...,20,Marcus,Brutus,6_MC,8_MO,,,,,
,,,,,,,,,,,
$Title,MudslideDefeated_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,left,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
P_2_3_Red_1_T1,Hurray!,0,Red,Wally,4_MO_EC,1_MC_EI,,,,,
P_2_3_Red_1_T2,I knew you could do it!,1,Red,Wally,2_MO_EP,1_MC_EI,,,,,
P_2_3_Wally_2_T1,Good job Explorer!,2,Red,Wally,2_MC_EP,11_MO_EP,,,,,
P_2_3_Julius_3_T1,Again?!,3,,Julius,,7_MO_EI,,,,,
P_2_3_Julius_3_T2,This can't be!,4,,Julius,,9_MO_EO,,,,,
P_2_3_Marcus_4_T1,IMPOSSIBLE!!!,5,Marcus,Brutus,4_MO,5_MC,,,,,
P_2_3_Brutus_5_T1,Yawn…,6,Marcus,Brutus,5_MC,6_MO,,,,,
P_2_3_Brutus_5_T2,Over already…,7,Marcus,Brutus,5_MC,7_MO,,,,,
P_2_3_Marcus_6_T1,Quiet you!,8,Marcus,Brutus,5_MO,3_MC,,,,,
P_2_3_Julius_9_T1,You won't beat me next time! I promise!,9,Red,Julius,14_MC_EI,9_MO_EP,,,,,
,,,,,,,,,,,
$Title,MudslideDefeated_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
P_2_3_Marcus_8_T1,Yeah next time you’ll lose!,0,Marcus,Brutus,4_MO,5_MC,,,,,
P_2_3_Brutus_9_T1,Yawn...,1,Marcus,Brutus,5_MC,6_MO,,,,,
P_2_3_Brutus_9_T2,Yeah…,2,Marcus,Brutus,5_MC,7_MO,,,,,
P_2_3_Brutus_9_T3,what they said...,3,Marcus,Brutus,5_MC,4_MO,,,,,
,,,,,,,,,,,
$Title,MudslideDefeated_1_p3,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,left,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
P_2_3_Red_10_T1,Alright!,0,Red,Wally,2_MO_EP,1_MC_EI,,,,,
P_2_3_Red_10_T2,let's move forward and find Darwin! ,1,Red,Wally,3_MO_EC,5_MC_EI,,,,,
P_2_3_Red_11_T1,Hopefully he’s thought of something to help the Prince.,2,Red,Wally,9_MO_EI,4_MC_EI,,,,,
P_2_3_Wally_12_T1,I agree~ let's hope he does.,3,Red,Wally,14_MC_EI,7_MO_EO,,,,,
,,,,,,,,,,,
$Title,OVillageIntro_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,left,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
P_3_1_Wally_1_T1,It looks like they destroyed this area as well...,0,Red,Wally,8_MC_EI,7_MO_EO,,,,,
P_3_1_Red_2_T1,Oh!,1,Red,Wally,5_MO_EI,6_MC_EI,,,,,
P_3_1_Red_3_T1,An orc!,2,Red,Wally,9_MO_EI,6_MC_EI,,,,,
P_3_1_Red_3_T2,Let's go over and talk to him. ,3,Red,Wally,2_MO_EP,3_MC_EI,,,,,
,,,,,,,,,,,
$Title,OVillageIntro_2_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
P_3_1_Clogg_4_T1,You there.,0,,Clogg,,1_MO_EI,,,,,
P_3_1_Wally_5_T1,U-us?,1,Wally,Clogg,3_MO_EI,1_MC_EI,,,,,
P_3_1_Clogg_6_T1,Yes.,2,Wally,Clogg,3_MC_EI,1_MO_EI,,,,,
P_3_1_Clogg_6_T2,I’ve never seen you before~,3,Wally,Clogg,3_MC_EI,4_MO_EP,,,,,
P_3_1_Clogg_6_T3,and now I come back to my village in shambles. ,4,Wally,Clogg,3_MC_EI,3_MO_EI,,,,,
P_3_1_Wally_7_T1,W-wait! That wasn't us! It was-,5,Wally,Clogg,7_MO_EI,1_MC_EI,,,,,
P_3_1_Clogg_8_T1,Listen~ I don't want to hear it.,6,Wally,Clogg,2_MC_EO,6_MO_EI,,,,,
P_3_1_Clogg_8_T2,Clean this mess up then I'll listen to you,7,Wally,Clogg,2_MC_EO,1_MO_EP,,,,,
P_3_1_Red_9_T1,We were already planning on it sir!,8,Red,Clogg,1_MO_EI,1_MC_EI,,,,,
P_3_1_Red_9_T2,Just leave it to us!,9,Red,Clogg,14_MO_EI,1_MC_EI,,,,,
P_3_1_Red_9_T3,Alright Explorer!,10,Red,Clogg,2_MO_EP,1_MC_EI,,,,,
P_3_1_Red_9_T4,Let’s do this!,11,Red,Clogg,3_MO_EC,1_MC_EI,,,,,
,,,,,,,,,,,
$Title,CloggQuips_1_p1,,,,,,,,,,
$Quip Collection,yes,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
P_3_1a_Clogg_1_T1,Hnn…,0,,Clogg,,7_MC_EO,,,,yes,
P_3_1a_Clogg_2_T1,Tch.,1,,Clogg,,7_MC_EO,,,,yes,
P_3_1a_Clogg_3_T1,...,2,,Clogg,,7_MC_EP,,,,yes,
P_3_1a_Clogg_4_T1,Uhhh,3,,Clogg,,1_MO_EP,,,,yes,
P_3_1a_Clogg_5_T1,Hhh,4,,Clogg,,7_MC_EP,,,,yes,
P_3_1a_Clogg_6_T1,Nuh-uh,5,,Clogg,,6_MO_EC,,,,yes,
P_3_1a_Clogg_7_T1,Go Away,6,,Clogg,,7_MO_EP,,,,yes,
,,,,,,,,,,,
$Title,OVillageRebuilt_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,left,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
P_3_2_Red_1_T1,Tah dah!,0,Red,Clogg,4_MO_EI,7_MC_EO,,,,,
P_3_2_Red_1_T2,All cleaned up Mr. Orc!,1,Red,Clogg,2_MO_EI,7_MC_EO,,,,,
P_3_2_Clogg_2_T1,...,2,Red,Clogg,2_MC_EI,8_MC_EO,,,,,
P_3_2_Clogg_2_T2,Clogg.,3,Red,Clogg,5_MC_EI,1_MO_EP,,,,,
P_3_2_Wally_3_T1,Huh?,4,Wally,Clogg,6_MO_EI,1_MC_EI,,,,,
P_3_2_Clogg_4_T1,That's my name~ Clogg,5,Wally,Clogg,2_MC_EI,7_MO_EO,,,,,
P_3_2_Red_5_T1,Well it’s a pleasure to meet you Clogg!,6,Red,Clogg,3_MO_EC,7_MC_EI,,,,,
P_3_2_Red_5_T2,My name is Red and this is Wally!,7,Red,Clogg,2_MO_EI,7_MC_EI,,,,,
P_3_2_Wally_6_T1,H-hello,8,Red,Wally,1_MC_EI,11_MO_EO,,,,,
P_3_2_Red_7_T1,And this is my friend!,9,Red,Wally,12_MO_EP,2_MC_EO,,,,,
P_3_2_Red_7_T2,They’re an Explorer.,10,Red,Wally,1_MO_EI,2_MC_EO,,,,,
P_3_2_Red_7_T3,They did most of the work!,11,Red,Wally,2_MO_EC,2_MC_EO,,,,,
P_3_2_Clogg_8_T1,I thank you for cleaning my Village~,12,Red,Clogg,1_MC_EI,5_MO_EI,,,,,
P_3_2_Clogg_8_T2,Now~ you can tell me what you were trying to say earlier. ,13,Red,Clogg,1_MC_EI,1_MO_EI,,,,,
P_3_2_Wally_9_T1,Well~ you see Clogg~,14,Wally,Clogg,2_MO_EO,1_MC_EI,,,,,
P_3_2_Wally_9_T2,we came to your kingdom to help the Prince while the King is away.,15,Wally,Clogg,1_MO_EI,1_MC_EI,,,,,
